,Standard Name,Summary
224,Harvey's,"Harvey's is a fast food restaurant chain operating in Canada, with locations in every province. It serves hamburgers, poutine, hot dogs, french fries, onion rings, and other traditional Canadian fast-food fare. The chain is owned by Recipe Unlimited (previously known as Cara Operations).Harvey's is the fourth largest burger chain in Canada.  Opened in 1959, Harvey's is one of Canada's longest-standing Canadian owned and operated restaurants. Harvey's is known for its grilled burgers and for providing customers with the choice of various toppings.

"
225,Hatch Ltd,"Hatch is a global multidisciplinary management, engineering and development consultancy. Its group companies have more than 9,000 staff in 70+ offices. In 2015, Hatch was ranked as a top 20 International Design Firm according to the Engineering News-Record (ENR) rankings.The company was founded in Toronto, Ontario, Canada, by W.S. Atkins as W.S. Atkins & Associates in 1955. The company initially was involved in subway tunneling and other civil engineering projects, and expanded into metallurgy when Gerry Hatch joined the company in January 1958. It became known as Hatch in 1962. 
Hatch counts among its metals clients the top 20 (as measured by market capitalization) mining and metals companies in the world, including Alcan, Alcoa, BHP, Barrick Gold, BlueScope, Glencore (and predecessor Falconbridge), Vale (and predecessor Inco) and Rio Tinto.
In 1996, the company began an expansion program by purchasing several aligned engineering companies including Billiton Engineering (1996), Rescan Mining (1998), BHP Engineering (1999), Kaiser Engineers (2000), Acres International (2004), and MEK Engenharia (2012). By 2005 the combined billing of the company was around CDN $700 million.Hatch today provides consulting, operations support, technologies, process design, and project and construction management to clients in three principal sectors: mining and metals; energy; and infrastructure.
The company's main offices are in Canada, Australia, South Africa, Chile, China, Brazil, Peru, Russia, United Kingdom, and United States. They also have several smaller offices around the globe.
On November 1, 2020, Hatched acquired LTK Engineering Services – a global engineering firm in the rail transportation sector.

"
226,Hathor Exploration,"Hathor Exploration Limited is a uranium exploration company based in Vancouver, British Columbia, Canada. Its exploration office is located in Saskatoon, Saskatchewan, Canada. Hathor's exploration projects concentrate on properties within the Athabasca Basin of Northern Saskatchewan, Canada.In 2009, Hathor Exploration was reported as having the sixth most significant exploration project in Saskatchewan (based on expenditures) and the 51st out of 100 in Canada at their Midwest NorthEast property in the Athabasca Basin, by Natural Resources Canada.The name Hathor was inspired by the ancient Egyptian goddess, who besides being one of the most important and popular deities throughout the history of Ancient Egypt, was also the patron goddess of miners in ancient Egyptian culture.

"
227,Haywire Winery,"Haywire Winery is a Canadian Winery located in the Okanagan Valley’s Summerland, British Columbia.  Situated on a 10 acre lot, Haywire sits looking over Okanagan Lake."
228,Hellbent Games,"Hellbent Games Inc. is a Canadian video game developer based in Burnaby, British Columbia. The company was founded by Christopher Mair, a founder of Rockstar Vancouver, on 12 June 2006, in Vancouver, British Columbia.

"
229,Héroux-Devtek,"Héroux-Devtek Inc. is an international company specializing in the design, development, manufacture, repair and overhaul of landing gear, actuation systems and components for the aerospace market. Founded in 1942, the company's head office is located in Longueuil, Quebec. Héroux-Devtek Inc. has more than 1960 employees working in 18 facilities in North America and Europe. The corporation is the third-largest landing gear company worldwide, supplying both the commercial and defence sectors of the Aerospace market with new landing gear systems and components, as well as aftermarket products and services. It also manufactures actuation systems as well as ball screws. Héroux-Devtek's accomplishments include the manufacturing of the landing gear for the lunar module that landed Neil Armstrong on the moon for the Apollo 11 mission in 1969.
Héroux-Devtek recorded sales of $483.9 million for the fiscal year ended March 31, 2019."
230,Hidden Valley Highlands,"Hidden Valley Highlands Ski Area is a ski and snowboard resort in Huntsville, Ontario, Canada. Hidden Valley offers 15 groomed trails, three quad chairlifts, one handle tow, two snow cats, night skiing and snowboarding, and a terrain park.

"
231,Home Hardware,"Home Hardware Stores Ltd. is a privately held Canadian home improvement, construction materials, and furniture retailer. Co-founded in 1964 by Walter Hachborn and headquartered in St. Jacobs, Ontario, the chain is co-operatively owned by over 1100 independently owned member stores, including one of them located in the French territory of Saint Pierre and Miquelon.

"
232,Honda Canada Inc.,"Honda Canada Inc. is the Canadian division of the Honda Motor Company. Founded in 1969, Honda has been building cars in Canada since 1986 in Alliston, Ontario and head office in Markham, Ontario."
233,HSBC Bank Canada,"HSBC Bank Canada (French: Banque HSBC Canada), formerly the Hongkong Bank of Canada (HBC), is the Canadian subsidiary of British multinational banking and financial services company HSBC. HSBC Canada is the seventh largest bank in Canada, with offices in every province except Prince Edward Island, and is the largest foreign-owned bank in the country. The corporate headquarters are located at the HSBC Canada Building in the downtown core's financial district of Vancouver, British Columbia. HSBC Bank Canada's Institution Number (or bank number) is 016."
234,Hudbay,"Hudbay Minerals Inc. is a diversified Canadian mining company primarily producing copper concentrate (containing copper, gold, and silver) and zinc metal. Much of its history has centered on Flin Flon, Manitoba, where it has mined for over 90 years. Hudbay currently has operations in Manitoba and Peru, and is working towards building a copper mine in southern Arizona. The company also has exploration properties in Canada, Peru, Chile and the United States.

"
235,Hudson Boatworks,"Hudson Boat Works is a rowing racing shell manufacturer based in London, Ontario. Jack Coughlan and his brother-in-law Hugh Hudson founded the company in 1981. In March 2007, Hudson began production of their ""Shark"" line of boats.  Designed by Britt Chance, US Naval Architect, Luis Tarrataca, Hudson Design Engineer, and Jack Coughlan, Head of Hudson R&D, the Great White 1x and the Hammerhead 8+ shells and claim to be; faster than ever, more stable, and more comfortable for the rowers. Hudson is the official boat manufacturer for the Canadian and American National Teams. 
Hudson Boat Works boats have won 86 World and Olympic Medals since 1984.
Hudson formerly held the world best time for the men's heavyweight eight for a two thousand meter race which was 5:19.85, designed by Luis Tarrataca, set by the U.S in the 2004 Olympic games in Athens, Greece. The current best time of 5:19.35 was set by the Canadian men's eight in a boat made by German boatmaker Empacher on May 25, 2012 at a World Cup meet in Lucerne, Switzerland.

"
236,Hudson's Bay Company,"The Hudson's Bay Company (HBC; French: Compagnie de la Baie d'Hudson) is an American-owned retail business group. A fur trading business for much of its existence, HBC now owns and operates retail stores in Canada and the United States.In 2006, an American businessman, Jerry Zucker, bought HBC for US$1.1 billion. The company sold most of its European operations by August 2019 and its remaining stores, in the Netherlands, were closed by the end of 2019. HBC owns the Saks Fifth Avenue and Saks Off 5th stores in the United States; most other American operations were sold by mid-2019 and the last remaining stores (Lord & Taylor chain) were sold prior to the end of 2019.
The company's namesake business division is Hudson's Bay, commonly referred to as The Bay (La Baie in French).After incorporation by English royal charter in 1670, the company functioned as the de facto government in parts of North America for nearly 200 years until the HBC sold the land it owned (the entire Hudson Bay drainage basin, known as Rupert's Land) to Canada in 1869 as part of the Deed of Surrender, authorized by the Rupert's Land Act 1868.
At its peak, the company controlled the fur trade throughout much of the English- and later British-controlled North America. By the mid-19th century, the company evolved into a mercantile business selling a wide variety of products from furs to fine homeware in a small number of sales shops (as opposed to trading posts) across Canada. These shops were the first step towards the department stores the company owns today.In 2008, HBC was acquired by NRDC Equity Partners, which also owned the upmarket American department store Lord & Taylor. From 2008 to 2012, the HBC was run through a holding company of NRDC, Hudson's Bay Trading Company, which was dissolved in early 2012. HBC's head office is currently located in Brampton, Ontario. Until March 2020, the company was listed on the Toronto Stock Exchange under the symbol ""HBC.TO""."
237,Husky Energy,"Husky Energy Inc. is a company engaged in hydrocarbon exploration, headquartered in Calgary, Alberta, Canada. It operates in Western and Atlantic Canada, the United States and the Asia Pacific region, with upstream and downstream business segments. In the 2020 Forbes Global 2000, Husky Energy was ranked as the 1443rd-largest public company in the world.In 2020, the company agreed to be acquired by Cenovus Energy. The deal closed in January 2021 and Husky became a subsidiary of Cenovus.

"
238,Hydro-Québec,"Hydro-Québec is a public utility that manages the generation, transmission and distribution of electricity in the Canadian province of Quebec, as well as the export of power to portions of the Northeast United States.
It was established by the Government of Quebec in 1944 from the expropriation of private firms. This was followed by massive investment in hydro-electric projects like the James Bay Project. Today, with 63 hydroelectric power stations, the combined output capacity is 37,370 megawatts. Extra power is exported from the province and Hydro-Québec supplies 10 per cent of New England's power requirements.Hydro-Québec is a Crown corporation (state-owned enterprise) based in Montreal. In 2018, it paid CAD$2.39 billion in dividends to its sole shareholder, the Government of Québec. Its residential power rates are among the lowest in North America.More than 40 percent of Canada’s water resources are in Québec and Hydro-Québec is the fourth largest hydropower producer in the world.The company logo, a stylized ""Q"" fashioned out of a circle and a lightning bolt, was designed by Montreal-based design agency Gagnon/Valkus in 1960."
239,Power Corporation of Canada,"Power Corporation of Canada (French: Power Corporation du Canada) is a management and holding company that focuses on financial services in North America, Europe and Asia. Its core holdings are insurance, retirement, wealth management and investment management, including a portfolio of alternative investment platforms."
240,IL Therapeutics,"IL Therapeutics Inc. was previously owned by Western Life Sciences Venture Fund LP
(""Western Life Sciences"") and in 2006 its shares were purchased by Pacgen Biopharmaceuticals Corporation (""Pacgen"")."
241,IMAX Corporation,"The IMAX Corporation is an American-Canadian theatre company which designs and manufactures IMAX cameras and projection systems as well as performing film development, production, post-production and distribution to IMAX-affiliated theatres worldwide. Founded in Montreal in 1967, it has headquarters in the Toronto area, and operations in New York City and Los Angeles.
As of December 2019, there were 1,624 IMAX theatres located in 81 countries, of which 1,529 were in commercial multiplexes. These include IMAX variations such as IMAX 3D, IMAX Dome, and Digital IMAX. The CEO is Richard Gelfond."
242,Immersive Media,"Immersive Media Company (IMC) is a digital imaging company specializing in spherical immersive video.  The parent company Immersive Ventures is headquartered in Kelowna, British Columbia with Immersive Media Company offices in Dallas, Texas."
243,ImmersiVision,"ImmersiVision Interactive Technologies Inc. is a Whistler, British Columbia, Canada based company, founded in early 2004, whose primarily revenue source was the production of immersive virtual reality.  The product is similar to Google Streetview. The Immersive media is a mixture of both indoor and outdoor content. In early 2008 it licensed its technology to VTour Interactive and shortly after ceased active production. VTour is currently active in the production of immersive virtual reality under that licensee agreement and has since expanded upon the technology originally developed by ImmersiVision.
ImmersiVision's virtual destinations:

VTour destinations - under ImmersiVision production license:"
244,Imperial Oil,"Imperial Oil Limited (French: Compagnie Pétrolière Impériale Ltée) is a Canadian petroleum company. It is Canada's second-biggest integrated oil company.It is majority owned by American oil company ExxonMobil with around 69.6 percent ownership stake in the company. It is a significant producer of crude oil, diluted bitumen and natural gas, Canada's major petroleum refiner, a key petrochemical producer and a national marketer with coast-to-coast supply and retail networks.  It supplies Esso-brand service stations.It is also known for its holdings in the Alberta Oil Sands.  Imperial owns 25 percent of Syncrude, which is one of the world's largest oil sands operations. Imperial is also in a joint venture oil sands mining operation with ExxonMobil, called Kearl Oil Sands.Imperial Oil is headquartered in Calgary, Alberta. It was based in Toronto, Ontario, until 2005. Most of Imperial's production is from its vast natural resource holdings in the Alberta oil sands and the Norman Wells oil field in the Northwest Territories.In 2021, Imperial Oil was ranked no. 34 out of 120 oil, gas, and mining companies involved in resource extraction north of the Arctic Circle in the Arctic Environmental Responsibility Index (AERI)."
245,Indigo Books and Music,"Indigo Books & Music Inc., known as ""Indigo"" and stylized ""!ndigo"", is a Canadian bookstore chain. It is Canada's largest book, gift, and specialty toy retailer, operating stores in all ten provinces and one territory, and through a website offering a selection of books, toys, home décor, stationery, and gifts. Most Chapters and Indigo stores include a Starbucks café inside. Contrary to its name, Indigo Books and Music does not sell music as part of its core retail offerings.
At the end of its fiscal year in March 2018, the company reported a record annual revenue surpassing CAD $1 billion. As of July 1, 2017, the company operated 86 superstores under the banners Chapters and Indigo and 123 small format stores, under the banners Coles, Indigospirit, and The Book Company. Indigo is headquartered in Toronto, Ontario and employed more than 7,000 people throughout Canada.After a series of mergers and acquisitions in the Canadian bookstore industry, Indigo stands as Canada's last remaining national bookstore chain. In late 2017, announcements were made to expand to the United States, starting with a location in The Mall at Short Hills."
246,Information Services Corporation,"Information Services Corporation (ISC) is a publicly traded Saskatchewan business corporation responsible for the development, management and administration of: registries – land titles, personal property, corporate and survey registries; geographic information; and access to government services for people and business.
ISC has an exclusive agreement to provide registry and information services to the Government of Saskatchewan. Under this agreement, ISC is responsible for the management and operation of the land titles, personal property, and corporate registries, the land surveys directory, geographic information, and access to certain government services for business. The Government of Saskatchewan manages the contractual relationship with ISC through the Office of Public Registry Administration at the Ministry of Justice. This Office contains the government-appointed registry officials responsible for oversight of each of the registries and the land surveys directory.
Three government agencies came together to form ISC in January 2000: the Land Titles Office (which was then a part of the Department of Justice), the Personal Property Registry (also part of Justice) and the Surveys, Mapping and Geographic Information Systems division of the Saskatchewan Property Management Corporation.
In 2008, the Vital Statistics Registry, which had been a part of the Department of Health, was transferred to ISC. In June 2013, the Vital Statistics Registry transferred to eHealth Saskatchewan. The Corporate Registry (formerly known as the Corporations Branch as part of the Ministry of Justice) became part of ISC in October 2010. In 2011, ISC launched Business Registrations Saskatchewan. In 2013, Information Services Corporation became a publicly traded company.
ISC employs over 300 people and has offices in eight Saskatchewan communities: Humboldt, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current and Yorkton.
For 2012 and 2013, ISC was named by Mediacorp one of Canada’s Best Diversity Employers, a Top 20 Saskatchewan Employer, and one of Canada's Greenest Employers. For 2012, ISC was also named by Mediacorp one of Canada's Top Employers for Young People.

"
247,Ingle International,"Ingle International is a Canadian insurance group of companies based in Toronto, with offices around the world. Ingle International provides travel health insurance products to various types travellers, including international students, snowbirds, expatriates, and high risk travellers.

"
248,Innovation Place Research Park,"Innovation Place is the registered business name of the Saskatchewan Opportunities Corporation (SOCO), a crown corporation in Saskatchewan. SOCO operates two research parks: one located near the University of Saskatchewan in Saskatoon, Saskatchewan, and the second near the University of Regina in Regina, Saskatchewan. In 2018, approximately 140 companies were based at Innovation Place. Research parks such as Innovation Place are sometimes referred to as science parks or technology parks."
249,Intelligent Creatures,"Intelligent Creatures (IC) is a motion picture visual effects company located in Toronto, Ontario, Canada.

"
250,Inter Pipeline,"Inter Pipeline Ltd. is a  multinational petroleum (oil, natural gas and petrochemical products)
transportation and infrastructure limited partnership that is ranked among North America's leading natural gas and NGL's extraction businesses (from its liquids (NGL's) counterpart). It is one of Alberta's top 100 companies in terms of profit (85) and assets (94).It is the biggest transporter of oil sands' bitumen (over 1 million bbls/d after the Cold Lake oil sands upgrade) and in 2010 it was Alberta's 23rd fastest growing business.
Soon after the millennium, the energy infrastructure business was divided into 4 segments: conventional oil pipelines, natural gas extraction, liquid storage and oilsands transportation.  Major companies such as Encana, Canadian Natural Resources, Shell Canada, Chevron, Marathon Oil and Imperial Oil rely on the pipelines for transportation of oil to refineries and distribution to markets.In 2010 other Canadian trusts/funds converted to corporations but Inter Pipeline's board of directors decided against it citing costs, a lack of tax benefits and the market response to other companies that converted.Overseas it operated in the UK, Ireland, Denmark, Germany, Sweden and The Netherlands. via its subsidiary Inter Terminals Limited (formerly Simon Storage Limited) These subsidiaries, apart from the Denmark and Sweden operations, were sold to Spanish company CLH in late 2020.  a bulk liquid storage business.

"
251,Interchill Records,"Interchill Records is a Canadian independent record label specializing in downtempo/electronica music.  Founded in Montreal, Quebec in 1995 by Andrew Ross Collins, Interchill got its start in the multi-sensory chill rooms of the early rave scene in Montreal. Originally launched to showcase and export Canadian ambient music to the rest of the world, the record label grew from a string of EPs to the seminal compilation 'Northern Circuits' and on to encompass music from producers around the planet.  Now, after 19 years in operation and 51 albums in its catalogue, the label has soundly established itself as a key player in the downtempo electronic scene and is known worldwide for releasing hi-fidelity music that lasts.  With a focus on 'organic electronica for expanding minds', Interchill maintains diversity while drawing a continuous thread through a wide variety of sounds and styles, bringing together the cutting-edge in dub, world-fusion, psy-chill, ambient, lounge and all points between. Over the years, Interchill has released albums from artists around the world like Eat Static, Mauxuam, Kaya Project, Gaudi, Ashtech, Adham Shaikh, Ishq, Pushmipulyu, Grouch (NZ) and Liquid Stranger."
252,International Road Dynamics,"International Road Dynamics Inc. is a road traffic management system engineering company headquartered in Saskatoon, Saskatchewan, Canada. Its services include automated toll roads, commercial vehicle inspection systems, traffic data collection products, and traffic management software.
IRD provides weigh-in-motion (WIM) systems that are capable of weighing vehicles while in motion and classifying them by axle spacings and speed. Information recorded includes individual axle weights, group axle weights, and gross vehicle weight (GVW). IRD's weigh-in-motion systems are used at highway inspection stations to sort vehicles, ensuring only overweight vehicles are stopped for inspection. This reduces wait times and improves traffic flow at weigh stations. IRD's WIM systems are also used by fleet managers to ensure vehicles are leaving terminals within the acceptable weight limits for their classification.IRD is a subsidiary of Quarterhill, an Ottawa-based patent licensing company."
253,Intertape Polymer Group,"Intertape Polymer Group Inc. (TSX: ITP) is a packaging products and systems company which supplies retailers and manufacturers, based in Montreal and Sarasota, Florida, with 17 locations, 12 manufacturing locations in North America and one in Europe, and 2000 employees. Products include paper-based and film-based pressure-sensitive and water-activated tape for sealing boxes and repairing plumbing. Intertape is the second-largest tape producer in North America behind 3M, and its market share for most products is 20 to 30 percent. About 80 percent of sales were made in the United States as of 2015, with 10 percent in Canada and Mexico.Melbourne F. Yull started Intertape Polymer Group in 1981 Intertape Polymer Group incorporated August 31, 1993. in Montreal. At first Intertape sold tape in a small area, but the company grew quickly with acquisitions.Intertape did very well in the 1990s, with the stock going from C$10 to nearly C$50. The early 2000s recession and competition from Asia hurt the company. Intertape was starting to turn around by the 2008 recession, but its stock fell to just over C$1.Greg Yull succeeded his father in 2010. He stopped the company's practice of increasing sales by charging prices that were lower than the rising costs to make the products. He also closed inefficient plants. The company turned around. Among the plants closed were Brantford, Ontario in 2011 and Richmond, Kentucky in 2012. Also, shrink film production moved from the Truro, Nova Scotia plant moved to Tremonton, Utah in 2012.Yull announced on July 3, 2013, that after 16 years in Bradenton, Florida, the company had selected a new site because it needed more room. After an eight-month search, in August 2013, Intertape moved its U.S. headquarters to Osprey Commerce Center in Sarasota. The offices once belonged to Arthur Andersen LLP, and the street was called Arthur Andersen Boulevard. The company would only move to the Sarasota location if the street name was changed. The street became Paramount Drive.In a deal announced in April 2015, Intertape bought Better Packages Inc. of Ansonia, Connecticut, a company started in 1917 that made tape dispensers. In an $11 million deal announced in November 2015, Intertape bought RJM Manufacturing Inc. of Fairless Hills, Pennsylvania, which made TaraTape filament and pressure-sensitive tapes.In February 2016, Intertape announced that by 2017 it would build a $40 million plant on 33 acres in Midland, North Carolina for water-activated tape, which the company made in Menasha, Wisconsin; the Menasha plant would remain open. Yull announced a $13.5 million expansion in October 2017. On July 1, 2017, IPG completed acquisition of Canadian Technical Tape Ltd. (Cantech), a very successful North American brand, supplier of industrial and specialty tapes based in Montreal, Canada."
254,Investment Saskatchewan,"Investment Saskatchewan Inc. is a Crown corporation owned by the Government of Saskatchewan that invests in Saskatchewan companies.  Investments are a minimum of $3M CDN. The investments are managed through a private sector venture capital investment company called Victoria Park Capital Inc.

"
255,Ironclad Games,"Ironclad Games is a Canadian PC game developer. The company was founded in 2003 by former employees of Rockstar Vancouver. Ironclad is located in Burnaby, British Columbia.

"
256,Irving Oil,"Irving Oil Ltd. is a Canadian gasoline, oil, and natural gas producing and exporting company. Considered part of the Irving Group of Companies, it was founded by entrepreneur Kenneth ""K.C."" Irving and is privately owned by his son, Arthur, and his family.
Irving Oil operates Canada's largest refinery, the Irving Oil Refinery, in Saint John, New Brunswick, and Ireland's only refinery, in Whitegate, County Cork, as well as a network of gasoline stations, fleet of oil tankers, real estate and other related assets.

"
257,Island Timberlands,"Island Timberlands LP, a private timberlands business in British Columbia, Canada, was created in 2005 by the purchase of lands from Weyerhaeuser's coastal BC timber estate, which had originally been purchased in 1999 from MacMillan Bloedel. The private managed forest lands comprise approximately 254,000 hectares of forests, both mature and regenerating. The majority of timber harvested from these lands is shipped to overseas clients as unprocessed logs.
Island Timberlands' (IT) corporate office is located in Nanaimo, BC, and the company is certified to the Sustainable Forestry Initiative (SFI) Forest Management Standard. Industry governed SFI certification is under scrutiny by various environmental watchdogs for greenwashing as 80% of the organization's funding comes from the wood and pulp industry and the environmental standards are adaptable based on the certified area across North America. Under SFI certification, IT is able and planning to harvest old growth forests on Cortes Island in September 2012.Island Timberlands provides limited recreational opportunities for residents and visitors to south, central and east Vancouver Island, including Cortes Island. Access to these lands is limited to weekends between 8am-4pm for licensed, registered vehicles only. IT blocks access by way of gates. IT do not allow quads, ATVs or dirt bikes access.  IT routinely block access to lakes (the east side of Boomerang Lake in their Northwest Bay logging division being one example) and lands by trenching or indiscriminately felling trees across trails.  More access is sought by residents, user groups and hunters.
The proposed logging actions for the Fall of 2012 on Cortes Island have brought them under scrutiny and public petition by Wildstands, a Community group focusing on public awareness of realities and options in the BC forestry industry.
IT is managed by Brookfield Asset Management (BAM).  BAM, one of the largest corporations in Canada, is most well known as the owner of Zucotti Park in New York City. In February 2012, Occupy movement protesters staged a 24-hour vigil in front of IT's main office."
258,Jackson Grills,"Jackson Grills, founded in 1999, is based out of Abbotsford, British Columbia.  It is best known for being a specialty manufacturer of quality barbecues, fire features and outdoor kitchen accessories.  Jackson Grills carries three lines of specialty grills, ranging in size from small portable grills to freestanding and built-in barbecues.Being started in Duncan, British Columbia by Al Jackson, the company has since expanded its geographic reach, with distribution across the United States and Canada, but with a focus on the Western Corridor. In November 2011, the company underwent a change of ownership.  With the company now operating out of Abbotsford, British Columbia, owner Ken Friesen shows plans to expand the company over the upcoming years.

"
259,Jazz,"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana, United States, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music, linked by the common bonds of African-American and European-American musical parentage. Jazz is characterized by swing and blue notes, complex chords, call and response vocals, polyrhythms and improvisation. Jazz has roots in European harmony and African rhythmic rituals.As jazz spread around the world, it drew on national, regional, and local musical cultures, which gave rise to different styles. New Orleans jazz began in the early 1910s, combining earlier brass-band marches, French quadrilles, biguine, ragtime and blues with collective polyphonic improvisation. In the 1930s, arranged dance-oriented swing big bands, Kansas City jazz, a hard-swinging, bluesy, improvisational style and gypsy jazz (a style that emphasized musette waltzes) were the prominent styles. Bebop emerged in the 1940s, shifting jazz from danceable popular music toward a more challenging ""musician's music"" which was played at faster tempos and used more chord-based improvisation. Cool jazz developed near the end of the 1940s, introducing calmer, smoother sounds and long, linear melodic lines.
The mid-1950s saw the emergence of hard bop, which introduced influences from rhythm and blues, gospel, and blues, especially in the saxophone and piano playing. Modal jazz developed in the late 1950s, using the mode, or musical scale, as the basis of musical structure and improvisation, as did free jazz, which explored playing without regular meter, beat and formal structures. Jazz-rock fusion appeared in the late 1960s and early 1970s, combining jazz improvisation with rock music's rhythms, electric instruments, and highly amplified stage sound. In the early 1980s, a commercial form of jazz fusion called smooth jazz became successful, garnering significant radio airplay. Other styles and genres abound in the 2000s, such as Latin and Afro-Cuban jazz."
260,Jean Coutu Group,"The Jean Coutu Group (PJC) Inc. is a Canadian drugstore chain headquartered in Varennes, Quebec. Since 2017, the main distribution warehouse is located in Varennes, Quebec (after Longueuil 1976-2015), though there is also a large distribution warehouse in Hawkesbury, Ontario, since 2005. It has more than 400 franchised locations in New Brunswick, Ontario and Quebec under the PJC Jean Coutu, PJC Clinique, and PJC Santé banners.  The company was once the third largest distributor and retailer of pharmaceuticals and related products in North America, with nearly 2,200 drug stores. Its American stores have been sold to Rite Aid.
The company is also known for its private line ""Personnelle"", which produces a wide variety of products such as cosmetics, papers, and pharmaceutical products.

"
261,Jim Pattison Group,"The Jim Pattison Group is a Canadian conglomerate based in Vancouver. In a recent survey by the Financial Post, the firm was ranked as Canada's 62nd largest company. Jim Pattison, a Vancouver-based entrepreneur, is the chairman, CEO, and sole owner of the company. The Jim Pattison Group, Canada's second largest privately held company, has more than 45,000 employees worldwide, and annual sales of $10.1 billion based on investments in Canada, the U.S., Mexico, Europe, Asia and Australia. The Group is active in 25 divisions, according to Forbes, including packaging, food, forestry products.In late 2018, Pattison was still working full-time. According to Forbes, his net worth then was $5.7 billion, having increased substantially from the $2.1 billion reported in March 2009. In September 2020, a news item stated that ""Jim Pattison Group Inc. had $10.9 billion in revenue and employed 48,000 people"".

"
262,Joker's Closet,"Joker's Closet is an online shoe retailing company in Toronto, Canada. Customers can choose the colors they want for its ready-made designs.

"
263,Windsor Salt,"Windsor Salt is a salt mining, processing, and distribution company based in Pointe-Claire, Quebec, Canada. It operates salt mines in Pugwash, Nova Scotia (the Windsor Salt Pugwash Mine) and Windsor, Ontario (the Windsor salt mine). From the salt it mines and produces through evaporative processes, it produces and distributes products for household use, food production, as well as products for agricultural, commercial, and industrial use. Government agencies use a number of its products for ice control on roads in the winter.
The company was previously named The Windsor Salt Company and The Canadian Salt Company, Limited (French: La Société Canadienne de Sel Limitée)."
264,Kal Tire,"Kal Tire is a wholly owned Canadian company based in Vernon, British Columbia, where it was founded in 1953 by Thomas J. Foord  and Jim Lochhead.  Its business comprises retail tire sales for passenger and light truck vehicles, mechanical services for passenger and light trucks, commercial truck tires, mining and off-road sales and service and retreading of both commercial and off-road tires.

"
265,Katz Group of Companies,"The Katz Group of Companies is a Canadian privately-owned enterprise, with operations in sports and entertainment and real estate development. Oilers Entertainment Group (OEG), a subsidiary of the Katz Group, owns the National Hockey League five-time Stanley Cup Champion Edmonton Oilers, as well as professional hockey franchises in the American Hockey League, Western Hockey League, and ECHL, and Aquila Productions, an entertainment and event company. OEG operates Rogers Place in downtown Edmonton. Katz Group is also involved in land assembly, site, and building development in Canada and the United States, including the design and development of Ice District, an area encompasses more than 25 acres anchored by Rogers Place. Katz Group is based in Edmonton, Alberta. Its founder and chairman is Daryl Katz.
Katz Group had some history in the pharmacy business from 1991 until 2016, when it sold its remaining pharmacy interests including the Rexall Drugstore brand and stores to American pharmacy giant McKesson Corporation."
266,KF Aerospace,"KF Aerospace is an approved maintenance organization (AMO) which operates two maintenance, repair and overhaul (MRO) facilities in Canada, one at Kelowna International Airport in British Columbia and the other at Hamilton International Airport in Ontario. It is the parent company of KF Cargo, which provides cargo aircraft charter and leasing services, and  KF Defence Programs, contract operator of the Canadian Forces Contracted Flying Training and Support program.

"
267,KF Cargo,"Kelowna Flightcraft Air Charter trading as KF Cargo and Kelowna Flightcraft trading as KF Maintenance and Engineering is a cargo airline based in Kelowna, British Columbia, Canada. It operates long term cargo charters for couriers and freight companies, forest fire patrols, and aircraft sales and leasing in Canada and worldwide. It also provides maintenance and aircraft manufacturing services."
268,Kinaxis,"Kinaxis is a supply chain management and sales and operation planning software company based in the Kanata district of Ottawa, Ontario, Canada. It is listed on the Toronto Stock Exchange and is a S&P/TSX Composite Component.
The company was founded in 1984 by Duncan Klett and two others as Cadence Computer Corporation and went public in June 2014.  It has 500 employees.

"
269,Kinross Gold,"Kinross Gold Corporation is a Canadian-based gold and silver mining company founded in 1993 and headquartered in Toronto, Ontario, Canada. Kinross currently operates seven active gold mines, and was ranked fifth of the ""10 Top Gold-mining Companies"" of 2019 by InvestingNews. The company's mines are located in Brazil, Ghana, Mauritania, Russia and the United States. It trades under the KGC ticker in the New York Stock Exchange, and under K in the Toronto Stock Exchange.

"
270,Kitchen Craft,"Kitchen Craft is a Canadian company that manufactures cabinetwork for kitchens and bathrooms.
Established in 1972 and headquartered in Winnipeg, Manitoba, Canada, the company employs approximately 1300 people in Winnipeg alone, making it one of the largest employers in the city. Kitchen Craft retail showrooms are located in Winnipeg, Edmonton, and Regina.In 2002, the company became a subsidiary of the MasterBrand Cabinets, a division of Fortune Brands in the United States."
271,KMS Tools,"KMS Tools & Equipment is an industrial distributor that carries a huge selection of tools, from high quality heavy-duty professional tools to value-priced occasional use tools. KMS is a Canadian retailer of power tools, woodworking, metalworking, construction equipment and C.A.R parts (which stands for custom and restoration). It was founded in Coquitlam, BC in 1983 by Stan Pridham. It continues to be 100% Canadian and BC owned and operated by Stan Pridham who lives in BC."
